platform,item_id,price,is_self_operated,crawl_date,cleaning_version
JD.com,JD-0096,4149.0,no,2026-05-12,CL-v2.0
JD.com,JD-0097,4169.0,no,2026-05-12,CL-v2.0
JD.com,JD-0098,4199.0,no,2026-05-12,CL-v2.0
JD.com,JD-0099,4209.0,no,2026-05-12,CL-v2.0
JD.com,JD-0100,4219.0,no,2026-05-12,CL-v2.0
JD.com,JD-0101,4279.0,no,2026-05-12,CL-v2.0
JD.com,JD-0102,4319.0,no,2026-05-12,CL-v2.0
JD.com,JD-0103,4319.0,no,2026-05-12,CL-v2.0
JD.com,JD-0104,4348.0,no,2026-05-12,CL-v2.0
JD.com,JD-0105,4369.0,no,2026-05-12,CL-v2.0
JD.com,JD-0106,4388.0,no,2026-05-12,CL-v2.0
JD.com,JD-0107,4399.0,no,2026-05-12,CL-v2.0
JD.com,JD-0108,4497.0,no,2026-05-12,CL-v2.0
JD.com,JD-0109,4499.0,no,2026-05-12,CL-v2.0
JD.com,JD-0110,4499.0,no,2026-05-12,CL-v2.0
JD.com,JD-0111,4499.0,no,2026-05-12,CL-v2.0
JD.com,JD-0112,4499.0,no,2026-05-12,CL-v2.0
JD.com,JD-0113,4549.0,no,2026-05-12,CL-v2.0
JD.com,JD-0114,4554.0,no,2026-05-12,CL-v2.0
JD.com,JD-0115,4589.0,no,2026-05-12,CL-v2.0
JD.com,JD-0116,4609.0,no,2026-05-12,CL-v2.0
JD.com,JD-0117,4648.0,no,2026-05-12,CL-v2.0
JD.com,JD-0118,4649.0,no,2026-05-12,CL-v2.0
JD.com,JD-0119,4649.0,no,2026-05-12,CL-v2.0
JD.com,JD-0120,4649.0,no,2026-05-12,CL-v2.0
JD.com,JD-0121,4689.0,no,2026-05-12,CL-v2.0
JD.com,JD-0122,4739.0,no,2026-05-12,CL-v2.0
JD.com,JD-0123,4739.0,no,2026-05-12,CL-v2.0
JD.com,JD-0124,4778.0,no,2026-05-12,CL-v2.0
JD.com,JD-0125,4779.0,no,2026-05-12,CL-v2.0
JD.com,JD-0126,4779.0,no,2026-05-12,CL-v2.0
JD.com,JD-0127,4818.5,yes,2026-05-12,CL-v2.0
JD.com,JD-0128,4909.0,no,2026-05-12,CL-v2.0
JD.com,JD-0129,4959.0,no,2026-05-12,CL-v2.0
JD.com,JD-0130,4959.0,no,2026-05-12,CL-v2.0
JD.com,JD-0131,4959.0,no,2026-05-12,CL-v2.0
JD.com,JD-0132,4959.0,no,2026-05-12,CL-v2.0
JD.com,JD-0133,4978.0,no,2026-05-12,CL-v2.0
JD.com,JD-0134,5009.0,no,2026-05-12,CL-v2.0
JD.com,JD-0135,5018.0,no,2026-05-12,CL-v2.0
JD.com,JD-0136,5018.0,no,2026-05-12,CL-v2.0
JD.com,JD-0137,5019.0,no,2026-05-12,CL-v2.0
